Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios
Fumetsu no Anata e,8.56,86,302,"Adventure, Supernatural, Drama, Shounen",20,"Apr 12, 2021","Aug 30, 2021","NHK, NHK Enterprises",Brain's Base
Detective Conan,8.16,349,595,"Adventure, Mystery, Comedy, Police, Shounen",Unknown,"Jan 8, 1996",?,"Yomiuri Telecasting, Animax, YTV, TMS-Kyokuchi, Shogakukan",TMS Entertainment
Shaman King (2021),6.70,5042,927,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",52,"Apr 1, 2021",?,"TV Tokyo, King Records, Techno Sound",Bridge
Mairimashita! Iruma-kun 2nd Season,8.06,477,1122,"Comedy, Demons, Fantasy, School, Shounen, Supernatural",21,"Apr 17, 2021",?,"NHK, NHK Enterprises",Bandai Namco Pictures
Edens Zero,6.77,4708,1264,"Action, Sci-Fi, Adventure, Space, Comedy, Fantasy, Shounen",25,"Apr 11, 2021",?,"Kodansha, Magic Capsule, Nippon Television Music",J.C.Staff
Crayon Shin-chan,7.71,1025,2108,"Slice of Life, Comedy, Ecchi, School, Seinen",Unknown,"Apr 13, 1992",?,TV Asahi,Shin-Ei Animation
Pokemon (2019),7.19,2883,2398,"Action, Adventure, Comedy, Kids, Fantasy",Unknown,"Nov 17, 2019",?,"TV Tokyo, Shogakukan-Shueisha Productions, MediaNet",OLM
Kingdom 3rd Season,8.41,155,2425,"Action, Military, Historical, Seinen",26,"Apr 6, 2020",?,"NHK, Shueisha","Pierrot Plus, Studio Signpost"
Dragon Quest: Dai no Daibouken (2020),7.11,3282,2438,"Action, Adventure, Fantasy, Shounen",Unknown,"Oct 3, 2020",?,"TV Tokyo, Square Enix, Shueisha",Toei Animation
Digimon Adventure:,7.77,899,462,"Action, Adventure, Comedy, Fantasy, Kids",54,"Mar 7, 1999","Mar 26, 2000","Yomiko Advertising, Fuji TV",Toei Animation
Blue Reflection Ray,5.34,10636,3846,"Magic, School",24,"Apr 10, 2021",?,"Mainichi Broadcasting System, Magic Capsule, DMM pictures",J.C.Staff
Doraemon (2005),7.57,1394,4497,"Sci-Fi, Comedy, Kids, Shounen",Unknown,"Apr 22, 2005",?,TV Asahi,Shin-Ei Animation
Yu☆Gi☆Oh!: Sevens,5.33,10675,4622,"Action, Game, Fantasy, Shounen",Unknown,"Apr 4, 2020",?,"None found, add some",Bridge
Maiko-san Chi no Makanai-san,6.63,5410,5095,"Slice of Life, Comedy, Shounen",12,"Feb 25, 2021",?,"NHK, NHK Enterprises",J.C.Staff
Gudetama,7.04,3577,5212,"Comedy, Kids",Unknown,"Mar 31, 2014",?,Sanrio,Gathering
Tropical-Rouge! Precure,7.18,2954,6185,"Action, Fantasy, Magic, Shoujo",Unknown,"Feb 28, 2021",?,"ABC Animation, ADK Emotions",Toei Animation
Sazae-san,6.08,8197,6249,"Comedy, Slice of Life",Unknown,"Oct 5, 1969",?,Fuji TV,Eiken
Nintama Rantarou,7.05,3514,6462,"Comedy, Kids",Unknown,"Apr 10, 1993",?,NHK,Ajia-Do
Chibi Maruko-chan (1995),7.23,2708,7906,"Slice of Life, Comedy, Kids, School",Unknown,"Jan 8, 1995",?,"Ajia-Do, Sakura Production",Nippon Animation
Tokyo Gambo,N/A,13431,8481,Slice of Life,Unknown,"Nov 21, 2020",?,"None found, add some",Jumonji
Sore Ike! Anpanman,6.41,6545,8659,"Comedy, Kids, Fantasy",Unknown,"Oct 3, 1988",?,"Sotsu, Nippon Television Network",TMS Entertainment
Bonobono (TV 2016),6.40,6589,8750,"Slice of Life, Comedy",Unknown,"Apr 2, 2016",?,"Fuji TV, Glovision",Eiken
Dinosaur Biyori,N/A,14775,9788,Slice of Life,26,"Apr 4, 2021",?,"Aniplex, Sony Music Entertainment, Sony Creative Products",Fanworks
Ojarumaru,6.36,6798,10136,"Adventure, Comedy, Kids, Fantasy",Unknown,"Oct 5, 1998",?,NHK,Gallop
Shikaru Neko,N/A,12800,10647,Slice of Life,Unknown,"Mar 22, 2021",?,"None found, add some","None found, add some"
Youkai Watch ♪,6.50,6090,3657,"Comedy, Demons, Kids, Supernatural",214,"Jan 8, 2014","Mar 30, 2018","TV Tokyo, Dentsu",OLM
Neko Konogoro,N/A,11963,10807,Comedy,Unknown,"Jun 8, 2016",?,Anime Beans,Kachidoki Studio
Puzzle & Dragon,N/A,12505,10814,"Game, Kids",Unknown,"Apr 2, 2018",?,Akatsuki,Studio Pierrot
Mazica Party,5.43,10428,10839,"Game, Magic, Fantasy",Unknown,"Apr 4, 2021",?,"Dentsu, TV Osaka",OLM
Neko no Robu,N/A,11977,10871,"Slice of Life, Comedy",Unknown,"May 6, 2017",?,"Gakken, MMDGP, Anime Beans",Kachidoki Studio
Mewkledreamy Mix!,6.65,5292,10928,"Adventure, Kids, Magic, Fantasy, Shoujo",Unknown,"Apr 11, 2021",?,TV Tokyo,J.C.Staff
Okashi na Sabaku no Suna to Manu,N/A,12182,10943,Comedy,50,"Feb 14, 2021",?,CHANCE iN,Kachidoki Studio
Fushigi Dagashiya: Zenitendou,6.01,8509,10962,"Mystery, Kids",Unknown,"Sep 8, 2020",?,Kanaban Graphics,Toei Animation
Bakugan: Geogan Rising,5.57,9997,11131,"Action, Fantasy, Game",26,"Apr 2, 2021","Mar 18, 2022","None found, add some",TMS Entertainment
Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,N/A,12719,11447,"Parody, Magic",Unknown,"Oct 7, 2020",?,Lantis,Pie in the sky
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,N/A,15832,11574,"Slice of Life, Comedy",Unknown,"Nov 16, 2012",?,"None found, add some","None found, add some"
Shinkansen Henkei Robo Shinkalion Z the Animation,N/A,12853,11756,"Action, Sci-Fi, Kids, Mecha",Unknown,"Apr 9, 2021",?,Shogakukan-Shueisha Productions,OLM
Knyacki!,6.15,7893,11865,"Comedy, Kids, Drama, Fantasy",Unknown,"Apr 7, 1995",?,NHK,"None found, add some"
"Anoyo no Subete wa, Obake-gumi!",N/A,14239,11932,"Comedy, Supernatural",13,"Apr 7, 2020",?,Stella Promotion,"None found, add some"
Shiawase Haitatsu Taneko,N/A,12786,12431,Comedy,Unknown,"Mar 26, 2011",?,"None found, add some",Kachidoki Studio
Hanakappa,N/A,15223,12530,"Comedy, Kids",Unknown,"Mar 29, 2010",?,"Group TAC, TOHO animation","Xebec, OLM"
Aware! Meisaku-kun,N/A,14306,12602,"Comedy, Parody, Kids, School",Unknown,"Apr 8, 2016",?,"None found, add some",Pie in the sky
Duel Masters King!,N/A,14843,12398,"Action, Adventure, Comedy, Kids, Fantasy",47,"Apr 5, 2020","Mar 28, 2021","None found, add some","Brain's Base, Shogakukan Music & Digital Entertainment"
