Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,7.04,3572,451,"Action, Adventure, Fantasy",12,"Apr 15, 2017","Jul 1, 2017","Genco, Movic, Warner Bros. Japan, KlockWorx, SoftBank Creative, MAGES., Hakuhodo DY Music & Pictures, FuRyu, Imagine",J.C.Staff
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,7.23,2713,231,"Action, Adventure, Comedy, Romance, Fantasy",12,"Jul 13, 2019","Sep 28, 2019","Genco, Movic, Warner Bros. Japan, KlockWorx, SoftBank Creative, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE",J.C.Staff
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.45,1780,404,"Action, Adventure, Comedy, Romance, Fantasy",12,"Oct 3, 2020","Dec 19, 2020","Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative",J.C.Staff
Enen no Shouboutai,7.67,1123,112,"Action, Supernatural, Shounen",24,"Jul 6, 2019","Dec 28, 2019","Mainichi Broadcasting System, Kodansha, bilibili, DMM pictures, DMM Music",David Production
Enen no Shouboutai: Ni no Shou,7.75,940,321,"Action, Supernatural, Shounen",24,"Jul 4, 2020","Dec 12, 2020","Mainichi Broadcasting System, DMM pictures",David Production
Eromanga-sensei,6.43,6453,239,"Comedy, Drama, Romance, Ecchi",12,"Apr 9, 2017","Jun 25, 2017","Aniplex, Movic, ASCII Media Works, BS11, Kinoshita Group Holdings",A-1 Pictures
Fairy Tail,7.61,1267,38,"Action, Adventure, Comedy, Magic, Fantasy, Shounen",175,"Oct 12, 2009","Mar 30, 2013","TV Tokyo, Dentsu, Pony Canyon, Kodansha, DAX Production, Sakura Create","Satelight, A-1 Pictures"
Fairy Tail (2014),7.68,1094,136,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",102,"Apr 5, 2014","Mar 26, 2016","TV Tokyo, Dentsu","A-1 Pictures, Bridge"
Fairy Tail: Final Series,7.53,1517,419,"Action, Adventure, Comedy, Magic, Fantasy, Shounen",51,"Oct 7, 2018","Sep 29, 2019","TV Tokyo, Dentsu, Kodansha, Avex Pictures","A-1 Pictures, Bridge, CloverWorks"
Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.94,620,867,"Action, Supernatural, Magic, Fantasy",21,"Oct 5, 2019","Mar 21, 2020","Aniplex, Notes, Delightworks, FILMONY",CloverWorks
Fate/stay night,7.31,2340,135,"Action, Supernatural, Magic, Romance, Fantasy",24,"Jan 7, 2006","Jun 17, 2006","Geneon Universal Entertainment, Frontier Works, TBS, KlockWorx, Notes",Studio Deen
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.22,287,486,"Action, Fantasy, Magic, Supernatural",1,"Oct 14, 2017",?,"Aniplex, Notes, Kadokawa",ufotable
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.56,85,637,"Action, Fantasy, Magic, Supernatural",1,"Jan 12, 2019",?,"Aniplex, Notes, Kadokawa",ufotable
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.77,33,816,"Action, Supernatural, Magic, Fantasy",1,"Aug 15, 2020",?,"Aniplex, Notes, Kadokawa",ufotable
Fate/stay night: Unlimited Blade Works,8.20,316,125,"Action, Supernatural, Magic, Fantasy",12,"Oct 12, 2014","Dec 28, 2014","Aniplex, Notes",ufotable
Fate/stay night: Unlimited Blade Works 2nd Season,8.33,203,170,"Action, Fantasy, Magic, Supernatural",13,"Apr 5, 2015","Jun 28, 2015","Aniplex, Notes",ufotable
Fate/Zero,8.31,221,62,"Action, Supernatural, Magic, Fantasy",13,"Oct 2, 2011","Dec 25, 2011","Aniplex, Nitroplus, Seikaisha, Notes",ufotable
Fate/Zero 2nd Season,8.58,76,111,"Action, Supernatural, Magic, Fantasy",12,"Apr 8, 2012","Jun 24, 2012","Aniplex, Nitroplus, Seikaisha, Notes",ufotable
Fruits Basket,9.08,6,687,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",13,"Apr 6, 2021","Jun 29, 2021","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",TMS Entertainment
Fruits Basket 1st Season,8.22,288,278,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",25,"Apr 6, 2019","Sep 21, 2019","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",TMS Entertainment
Fullmetal Alchemist,8.14,375,58,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",51,"Oct 4, 2003","Oct 2, 2004","Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones
Fullmetal Alchemist: Brotherhood,9.16,2,3,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",64,"Apr 5, 2009","Jul 4, 2010","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",Bones
Gake no Ue no Ponyo,7.89,705,365,"Adventure, Fantasy",1,"Jul 19, 2008",?,"Dentsu, d-rights, Toho",Studio Ghibli
Gamers!,6.84,4381,289,"Game, Comedy, Romance, School",12,"Jul 13, 2017","Sep 28, 2017","Sony Pictures Entertainment, Frontier Works, Sotsu, Kadokawa Shoten, AT-X, NBCUniversal Entertainment Japan, Tokyo MX, i0+, Chugai Mining, BS11",Pine Jam
Gintama,8.95,15,123,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",201,"Apr 4, 2006","Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise
Gintama°,8.95,15,123,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",201,"Apr 4, 2006","Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise
Girls & Panzer,7.53,1521,686,"Action, Military, Sports, School",12,"Oct 9, 2012","Mar 25, 2013","Lantis, Movic, Showgate, Cyclone Graphics",Actas
Gleipnir,7.02,3668,466,"Action, Mystery, Supernatural, Ecchi, Seinen",13,"Apr 5, 2020","Jun 28, 2020","Kodansha, bilibili, Good Smile Film",Pine Jam
Goblin Slayer,7.43,1854,129,"Action, Adventure, Fantasy",12,"Oct 7, 2018","Dec 30, 2018","Sony Pictures Entertainment, Frontier Works, AT-X, SoftBank Creative, Bushiroad, Hakuhodo DY Music & Pictures, Good Smile Film, Artist Management Office",White Fox
Golden Time,7.76,911,134,"Comedy, Drama, Romance",24,"Oct 4, 2013","Mar 28, 2014","Genco, Starchild Records",J.C.Staff
Great Pretender,8.31,222,373,"Action, Adventure, Mystery, Comedy, Psychological",23,"Jul 9, 2020","Dec 17, 2020","Production I.G, Fuji TV, BS Fuji, TOHO animation, Hakuhodo DY Media Partners",Wit Studio
Grisaia no Kajitsu,7.52,1548,309,"Drama, Harem, Psychological, Romance, School",13,"Oct 5, 2014","Dec 28, 2014","Frontier Works, AT-X, Bushiroad, NBCUniversal Entertainment Japan, Front Wing",8bit
Guilty Crown,7.47,1713,89,"Action, Sci-Fi, Super Power, Drama, Romance, Mecha",22,"Oct 14, 2011","Mar 23, 2012","Aniplex, Dentsu, Movic, Fuji TV, Fujipacific Music",Production I.G
Hagure Yuusha no Aesthetica,6.83,4436,461,"Action, Super Power, Ecchi, Fantasy",12,"Jul 6, 2012","Sep 21, 2012","Genco, Lantis, Media Factory, AT-X, Showgate",Arms
Haikyuu!!,8.47,122,37,"Comedy, Sports, Drama, School, Shounen",25,"Apr 6, 2014","Sep 21, 2014","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha, Spacey Music Entertainment",Production I.G
